i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
6222 41.11646294593811 0.01457282155752182 -0.004793688654899597 0.13019661977887154 -0.150613970246166 -0.1803707957100123 -0.0 0.17005521703275084 0.037948183229569346 -0.20800340026232017 840.0 5656.0 -2330.0 0.16758744791150093 0.053689312934875486 -0.030579763587564233 -0.003962896747514606 -0.2876216545701027 -0.2300972118973732 -0.01457282155752182 0.004793688654899597 
6223 41.12142515182495 0.01840776950120926 -0.0005752444267272949 0.1317306011915207 -0.10651151010021567 -0.31390347628109155 -0.0 0.2959510356218539 -0.061009233984651884 -0.23494180163720196 839.0 5681.0 -2354.0 0.21168934926390648 0.006442737579345703 -0.030579763587564233 -0.003962896747514606 -0.2876210957765579 -0.31638331711292267 -0.01840776950120926 0.0005752444267272949 
6224 41.126453161239624 0.02166748046875 0.004026696085929871 0.13288108631968498 -0.025882060762494805 -0.39420743135921654 -0.0 0.3716623305443099 -0.1646985511522143 -0.20696377939209565 839.0 5702.0 -2374.0 0.249176025390625 -0.04509899616241455 -0.030579763587564233 -0.003962896747514606 -0.24447832256555557 -0.3451455384492874 -0.02166748046875 -0.004026696085929871 
6225 41.13141131401062 0.025118939578533173 0.008053399622440338 0.13326458260416985 -0.0005713916681706933 -0.39616373775713143 -0.0 0.37350675390436894 -0.18628683760875253 -0.1872199162956164 839.0 5728.0 -2398.0 0.2888678051531315 -0.09019807577133178 -0.030579763587564233 -0.003962896747514606 -0.25885943323373795 -0.30200276523828506 -0.025118939578533173 -0.008053399622440338 
6226 41.13646197319031 0.028378643095493317 0.011313103139400482 0.13268933817744255 0.05129686823859811 -0.3751474156808108 -0.0 0.3536923754300131 -0.21872990524412197 -0.1349624701858911 839.0 5747.0 -2415.0 0.32635439559817314 -0.1267067551612854 -0.030579763587564233 -0.003962896747514606 -0.2444777637720108 -0.2444777637720108 -0.028378643095493317 -0.011313103139400482 
6227 41.14145517349243 0.028378643095493317 0.011313103139400482 0.13268933817744255 0.2957746320106089 -0.1306696519088 -0.0 0.12319652927999755 -0.3030972404018172 0.17990071112181966 841.0 5765.0 -2431.0 0.32635439559817314 -0.1267067551612854 -0.030579763587564233 -0.003962896747514606 0.0 0.0 -0.028378643095493317 -0.011313103139400482 
6228 41.14651894569397 0.028378643095493317 0.011313103139400482 0.13268933817744255 0.2957746320106089 -0.1306696519088 -0.0 0.12319652927999755 -0.3030972404018172 0.17990071112181966 841.0 5765.0 -2431.0 0.32635439559817314 -0.1267067551612854 -0.030579763587564233 -0.003962896747514606 0.0 0.0 -0.028378643095493317 -0.011313103139400482 
6229 41.15143084526062 0.04103398695588112 0.013230584561824799 0.12789564952254295 -0.5078397031240165 -0.29595655052177605 -0.0 0.27903051174736915 0.27513412538642623 -0.5541646371337954 847.0 5797.0 -2461.0 0.47189084999263287 -0.14818254709243772 -0.030579763587564233 -0.003962896747514606 -0.9491507895290852 -0.14381110668182373 -0.04103398695588112 -0.013230584561824799 
6230 41.15645933151245 0.04467719420790672 0.01342233270406723 0.1269369125366211 0.20996742590144277 -0.16867413370124995 -0.0 0.15902749833456026 -0.25095143452200375 0.09192393618744352 849.0 5810.0 -2475.0 0.5137877333909273 -0.15033012628555298 -0.030579763587564233 -0.003962896747514606 -0.2732405439019203 -0.014381110668182373 -0.04467719420790672 -0.01342233270406723 
6231 41.161423206329346 0.047936901450157166 0.012080095708370209 0.12655341625213623 0.27621655992045996 -0.038592194003984316 -0.0 0.0363850694414455 -0.24372241149139662 0.20733734204995113 852.0 5821.0 -2487.0 0.5512743666768074 -0.13529707193374632 -0.030579763587564233 -0.003962896747514606 -0.2444780431687832 0.10066777467727661 -0.047936901450157166 -0.012080095708370209 
6232 41.166454792022705 0.05023787170648575 0.008628636598587036 0.12597817182540894 0.37458299181237814 0.15825580658204855 -0.0 -0.14920500532841757 -0.23124322942427633 0.3804482347526939 855.0 5830.0 -2496.0 0.5777355246245861 -0.0966407299041748 -0.030579763587564233 -0.003962896747514606 -0.1725727692246437 0.25885943323373795 -0.05023787170648575 -0.008628636598587036 
6233 41.171417474746704 0.0523470975458622 0.004793688654899597 0.12559467740356922 0.4132199202366173 0.22996888609416782 -0.0 -0.21681674509213703 -0.22898427949835712 0.4458010245904941 858.0 5839.0 -2506.0 0.6019916217774153 -0.053689312934875486 -0.030579763587564233 -0.003962896747514606 -0.15819193795323372 0.2876210957765579 -0.0523470975458622 -0.004793688654899597 
6234 41.1764452457428 0.05426457151770592 0.0013422295451164246 0.12559467740356922 0.44965226097777483 0.2398635655809194 -0.0 -0.226145538375803 -0.25406676450687316 0.4802123028826762 862.0 5847.0 -2514.0 0.624042572453618 -0.015032970905303955 -0.030579763587564233 -0.003962896747514606 -0.14381054788827896 0.25885943323373795 -0.05426457151770592 -0.0013422295451164246 
6235 41.181432008743286 0.05579855293035507 -0.0015339851379394531 0.12559467740356922 0.49605498916283247 0.2289338380265981 -0.0 -0.2158408924155603 -0.29710675639581274 0.5129476488113729 865.0 5852.0 -2521.0 0.6416833586990833 0.017180633544921872 -0.030579763587564233 -0.003962896747514606 -0.1150486059486866 0.21571610122919083 -0.05579855293035507 0.0015339851379394531 
6236 41.18645524978638 0.05752428248524666 -0.003834955394268036 0.12559467740356922 0.5015197683759034 0.21156041415408255 -0.0 -0.19946107130531493 -0.30975864049393265 0.5092197117992476 869.0 5856.0 -2526.0 0.6615292485803366 0.042951500415802 -0.030579763587564233 -0.0039638554863631725 -0.12942971661686897 0.1725727692246437 -0.05752428248524666 0.003834955394268036 
6237 41.1914336681366 0.059250012040138245 -0.0051771849393844604 0.12578642554581165 0.5213656582571566 0.15468653742223978 -0.0 -0.14583986609270985 -0.35277334433374663 0.4986132104264565 871.0 5857.0 -2530.0 0.6813751384615898 0.05798447132110595 -0.030579763587564233 -0.003965149782598019 -0.12942971661686897 0.10066721588373184 -0.059250012040138245 0.0051771849393844604 
6238 41.196441411972046 0.06097573786973953 -0.005944177508354187 0.12597817182540894 0.5412117846943438 0.12013259493932127 -0.0 -0.11326209669750771 -0.38526652341197043 0.4985286201094781 871.0 5858.0 -2531.0 0.7012209855020046 0.06657478809356689 -0.030579763587564233 -0.003966635826975108 -0.1294294372200966 0.05752444267272949 -0.06097573786973953 0.005944177508354187 
6239 41.20141863822937 0.06193447858095169 -0.006519421935081482 0.12616991996765137 0.6097611867524684 0.11219259199500083 -0.0 -0.1057761901314142 -0.4449798291001159 0.5507560192315302 871.0 5856.0 -2530.0 0.7122465036809444 0.07301752567291259 -0.030579763587564233 -0.003968265682458878 -0.07190555334091187 0.04314333200454712 -0.06193447858095169 0.006519421935081482 
6240 41.20648694038391 0.06193447858095169 -0.006519421935081482 0.12616991996765137 0.6816667400933802 0.06904763013496994 -0.0 -0.0650987299910638 -0.5240291976228618 0.5891279276139255 871.0 5856.0 -2530.0 0.7122465036809444 0.07301752567291259 -0.030579763587564233 -0.003969895537942648 0.0 0.0 -0.06193447858095169 0.006519421935081482 
6241 41.21143341064453 0.06250971928238869 -0.007669903337955475 0.1263616681098938 0.645138955552131 0.16821720958687364 -0.0 -0.1585967061482094 -0.4474553983574943 0.6060521045057037 868.0 5848.0 -2523.0 0.7188617717474699 0.08590291738510131 -0.030579763587564233 -0.003971813013777137 -0.043143052607774734 0.08628610521554947 -0.06250971928238869 0.007669903337955475 
