i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy 
91 10.455732583999634 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
92 10.460765838623047 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
93 10.465713739395142 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
94 10.470779180526733 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
95 10.475730657577515 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
96 10.48077130317688 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
97 10.485718250274658 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
98 10.490732192993164 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
99 10.495761632919312 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
100 10.500721454620361 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
101 10.505973100662231 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
102 10.510723114013672 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
103 10.515849113464355 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
104 10.520742654800415 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
105 10.525768995285034 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
106 10.53071928024292 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
107 10.535762548446655 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
108 10.540721416473389 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
109 10.545747756958008 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
110 10.551651954650879 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
111 10.55579161643982 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
112 10.560771703720093 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
113 10.565721273422241 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
114 10.570764303207397 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
115 10.575715780258179 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
116 10.580723524093628 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
117 10.58574891090393 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
118 10.590856313705444 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
119 10.59580397605896 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
120 10.60074758529663 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
121 10.605726957321167 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
122 10.610764265060425 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
123 10.615763425827026 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
124 10.620749711990356 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
125 10.625767946243286 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
126 10.63072919845581 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
127 10.635763883590698 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
128 10.640730381011963 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
129 10.645772218704224 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
