i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
3323 26.60621476173401 0.1372912861406803 0.009970881044864655 1.3146215453743935 1.0905400481199086 -0.08973792940378189 0 0.08460573121473847 -0.9327250862620322 0.8481193550472939 4387.0 -44142.0 43042.0 1.0905400481199086 -0.08973792940378189 0.0 0.0 0.0 0.0 -0.12117111645776762 -0.009970881044864655 0 
3324 26.611244916915894 0.1384417712688446 0.00632767379283905 1.314046360552311 1.113673456384881 0.012271873652935028 0 -0.011570033437139847 -0.9035255526896482 0.915095586126788 4393.0 -44177.0 43074.0 1.1148200101472847 -0.05694906413555145 0.0 0.0 -0.0011465537624038736 0.06922093778848648 -0.12386889001636497 -0.00632767379283905 0 
3325 26.61612892150879 0.14093449339270592 0.004985436797142029 1.3132793679833412 1.1361951023593955 -0.01936642825603485 0 0.018258843662940005 -0.936828838174744 0.9185699945118039 4400.0 -44217.0 43110.0 1.1372545092620365 -0.04486893117427826 0.0 0.0 -0.001059406902641058 0.025502502918243408 -0.1263616121402263 -0.004985436797142029 0 
3326 26.621040105819702 0.14611167833209038 0.0030679628252983093 1.3123205676674843 1.2037491157912594 0.008820340037345886 0 -0.008315896337037975 -0.9786990891698175 0.9870149855068555 4412.0 -44294.0 43181.0 1.2070447668437283 -0.027611665427684784 0.0 0.0 -0.00329565105246878 0.03643200546503067 -0.1341160852048587 -0.0030679628252983093 0 
3327 26.626066207885742 0.14611167833209038 0.0030679628252983093 1.3123205676674843 1.2070447668437283 -0.027611665427684784 0 0.02603252781836008 -0.9985641890637882 0.972531661245428 4412.0 -44294.0 43181.0 1.2070447668437283 -0.027611665427684784 0.0 0.0 0.0 0.0 -0.1341160852048587 -0.0030679628252983093 0 
3328 26.63103723526001 0.14937138557434082 0.0034514591097831726 1.3119370713829994 1.2349967564460258 -0.038349561393260956 0 0.036156313222272855 -1.0 0.9902924724838751 4425.0 -44372.0 43252.0 1.2363821320239823 -0.031063131988048553 0.0 0.0 -0.0013853755779564382 -0.007286429405212402 -0.13737579244710915 -0.0034514591097831726 0 
3329 26.63603973388672 0.14994663000106812 0.003834955394268036 1.3119370713829994 1.2413148529831688 -0.041801027953624725 0 0.039410387102101964 -1.0 0.9938241397645091 4430.0 -44410.0 43286.0 1.241559331864528 -0.03451459854841232 0.0 0.0 -0.00024447888135910035 -0.007286429405212402 -0.13795103687383645 -0.003834955394268036 0 
3330 26.64107656478882 0.14994663000106812 0.003834955394268036 1.3119370713829994 1.241559331864528 -0.03451459854841232 0 0.03254067557801829 -1.0 0.9974586116972897 4430.0 -44410.0 43286.0 1.241559331864528 -0.03451459854841232 0.0 0.0 0.0 0.0 -0.13795103687383645 -0.003834955394268036 0 
3331 26.646085023880005 0.15033012628555298 0.0040267035365104675 1.3117453828454018 1.2448478125039857 -0.03988354653120041 0 0.037602568279974685 -1.0 0.9976126985448757 4435.0 -44445.0 43319.0 1.2450107984248917 -0.03624033182859421 0.0 0.0 -0.0001629859209060669 -0.003643214702606201 -0.1383345331583213 -0.0040267035365104675 0 
3332 26.651143312454224 0.15090536698698997 0.004793688654899597 1.311361886560917 1.249943487439714 -0.05771591514348984 0 0.05441508664046535 -1.0 0.9933670405271716 4441.0 -44490.0 43360.0 1.2501879647378247 -0.043143197894096375 0.0 0.0 -0.0002444772981107235 -0.014572717249393463 -0.1389097738597583 -0.004793688654899597 0 
3333 26.656139373779297 0.1510971151292324 0.005560681223869324 1.3105948939919472 1.247409538960566 -0.06461898982524872 0 0.06092336786514384 -1.0 0.9880439396453611 4446.0 -44525.0 43394.0 1.2472718327267076 -0.050046131014823914 0.0 0.0 0.00013770623385831252 -0.014572858810424805 -0.1385857591918564 -0.005560681223869324 0 
3334 26.661061763763428 0.15148061141371727 0.006135925650596619 1.3094444051384926 1.2505603133661654 -0.06615297496318817 0 0.06236962292284566 -1.0 0.9898934086459567 4455.0 -44598.0 43463.0 1.2507232992870714 -0.05522333085536957 0.0 0.0 -0.0001629859209060669 -0.010929644107818604 -0.13896925547634126 -0.006135925650596619 0 
3335 26.666056156158447 0.1516723595559597 0.005752429366111755 1.3086774125695229 1.2523675396068001 -0.044485434889793396 0 0.04194127023280739 -1.0 1.0 4460.0 -44642.0 43506.0 1.2524490325672533 -0.0517718642950058 0.0 0.0 -8.149296045303346e-05 0.007286429405212402 -0.1391610036185837 -0.005752429366111755 0 
3336 26.671030044555664 0.15186410397291183 0.005368933081626892 1.3075269237160683 1.2540932409426178 -0.041033968329429626 0 0.03868719635297828 -1.0 1.0 4465.0 -44679.0 43542.0 1.2541747323198225 -0.04832039773464203 0.0 0.0 -8.149137720465661e-05 0.007286429405212402 -0.13935274803553582 -0.005368933081626892 0 
3337 26.67603635787964 0.15186410397291183 0.005560681223869324 1.3063764348626137 1.2541747323198225 -0.053689345717430115 0 0.05061880057901834 -1.0 0.9987199805355718 4469.0 -44716.0 43578.0 1.2541747323198225 -0.050046131014823914 0.0 0.0 0.0 -0.003643214702606201 -0.13935274803553582 -0.005560681223869324 0 
3338 26.681052446365356 0.15186410397291183 0.005560681223869324 1.3063764348626137 1.2541747323198225 -0.050046131014823914 0 0.047183944816976506 -1.0 1.0 4473.0 -44753.0 43615.0 1.2541747323198225 -0.050046131014823914 0.0 0.0 0.0 0.0 -0.13935274803553582 -0.005560681223869324 0 
3339 26.686084985733032 0.15186410397291183 0.005560681223869324 1.3063764348626137 1.2541747323198225 -0.050046131014823914 0 0.047183944816976506 -1.0 1.0 4473.0 -44753.0 43615.0 1.2541747323198225 -0.050046131014823914 0.0 0.0 0.0 0.0 -0.13935274803553582 -0.005560681223869324 0 
3340 26.691045999526978 0.15090536698698997 0.007861651480197906 1.304650641977787 1.2459535626655425 -0.11447329819202423 0 0.1079264605551601 -1.0 0.9633535936335544 4477.0 -44791.0 43652.0 1.2455460994465257 -0.07075486332178116 0.0 0.0 0.00040746321901679043 -0.04371843487024307 -0.13839401104961396 -0.007861651480197906 0 
3341 26.696468114852905 0.15071361884474754 0.01016262173652649 1.3042671456933022 1.2394791930298088 -0.13518203049898148 0 0.12745084061386197 -1.0 0.9483051029329645 4485.0 -44874.0 43733.0 1.2391785008750444 -0.0914635956287384 0.0 0.0 0.0003006921547643912 -0.04371843487024307 -0.13768650009722716 -0.01016262173652649 0 
3342 26.701045989990234 0.15090536698698997 0.011313110589981079 1.3036919608712196 1.2408227411947732 -0.12367728352546692 0 0.11660406114611857 -1.0 0.9548254951498416 4489.0 -44912.0 43771.0 1.2409042341552263 -0.10181799530982971 0.0 0.0 -8.149296045303346e-05 -0.021859288215637207 -0.1378782482394696 -0.011313110589981079 0 
3343 26.706275701522827 0.15186410397291183 0.012463599443435669 1.3031167760491371 1.2535480699064943 -0.13403168320655823 0 0.12636628278560588 -1.0 0.9603345717143995 4494.0 -44956.0 43815.0 1.2541747323198225 -0.11217239499092102 0.0 0.0 -0.0006266624133281482 -0.021859288215637207 -0.13935274803553582 -0.012463599443435669 0 
3344 26.711249113082886 0.15263109654188156 0.013038836419582367 1.302541472017765 1.260751693598738 -0.12827903032302856 0 0.120942629633931 -1.0 0.9689281324052441 4498.0 -44994.0 43854.0 1.26107766544055 -0.1173495277762413 0.0 0.0 -0.0003259718418121338 -0.010929502546787262 -0.14011974060450555 -0.013038836419582367 0 
3345 26.7162024974823 0.15397332981228828 0.013230584561824799 1.3017744794487953 1.2725873157342877 -0.12271847575902939 0 0.11570008851478215 -1.0 0.9812131479716473 4502.0 -45034.0 43894.0 1.2731577648742105 -0.11907526105642319 0.0 0.0 -0.0005704491399228574 -0.003643214702606201 -0.14146197387491227 -0.013230584561824799 0 
3346 26.721283674240112 0.15397332981228828 0.014381073415279388 1.300432302057743 1.2731577648742105 -0.1512889489531517 0 0.14263658896447864 -1.0 0.9682106675191391 4507.0 -45072.0 43933.0 1.2731577648742105 -0.1294296607375145 0.0 0.0 0.0 -0.021859288215637207 -0.14146197387491227 -0.014381073415279388 0 
3347 26.726062774658203 0.15416507795453072 0.016298547387123108 1.2988983169198036 1.2748020051939393 -0.18311893194913864 0 0.17264618472649845 -1.0 0.9545483862374111 4512.0 -45117.0 43978.0 1.2748834981543924 -0.14668692648410797 0.0 0.0 -8.149296045303346e-05 -0.03643200546503067 -0.1416537220171547 -0.016298547387123108 0 
3348 26.731080293655396 0.15416507795453072 0.016298547387123108 1.2988983169198036 1.341184235176396 -0.14668692648410797 0 0.1382977605711004 -1.0 1.0 4512.0 -45117.0 43978.0 1.3444702775360873 -0.14668692648410797 0.0 0.0 -0.0032860423596911517 0.0 -0.1493855863928986 -0.016298547387123108 0 
3349 26.736083984375 0.15454857051372528 0.01840776950120926 1.297747828066349 1.3477587262311808 -0.2057451456785202 0 0.1939783836073276 -1.0 1.0 4516.0 -45154.0 44016.0 1.3479217105688384 -0.16566992551088333 0.0 0.0 -0.00016298433765769005 -0.04007522016763687 -0.14976907895209315 -0.01840776950120926 0 
3350 26.741031646728516 0.152822844684124 0.02377670258283615 1.2964055314660072 1.3331236115800074 -0.3160000517964363 0 0.29792770597408047 -1.0 0.9395270178220574 4526.0 -45230.0 44091.0 1.3323901781024268 -0.21399032324552536 0.0 0.0 0.0007334334775805474 -0.10200972855091095 -0.14804335312249187 -0.02377670258283615 0 
3351 26.74604034423828 0.15033012628555298 0.025502435863018036 1.2958303466439247 1.3110151178346803 -0.26231085509061813 0 0.24730904588455715 -1.0 0.9467848383142974 4532.0 -45276.0 44137.0 1.3099557125152876 -0.22952192276716232 0.0 0.0 0.0010594053193926812 -0.03278893232345581 -0.14555063472392085 -0.025502435863018036 0 
3352 26.75112271308899 0.15033012628555298 0.025502435863018036 1.2958303466439247 1.3099557125152876 -0.22952192276716232 0 0.21639534402618066 -1.0 0.9613766884223851 4532.0 -45276.0 44137.0 1.3099557125152876 -0.22952192276716232 0.0 0.0 0.0 0.0 -0.14555063472392085 -0.025502435863018036 0 
3353 26.7560293674469 0.14841264858841896 0.029337383806705475 1.2952550426125526 1.2935133412623634 -0.3369004651904106 0 0.3176328046947223 -1.0 0.8973328181777572 4542.0 -45353.0 44214.0 1.2926984132410815 -0.2640364542603493 0.0 0.0 0.0008149280212819577 -0.07286401093006134 -0.14363315702678683 -0.029337383806705475 0 
3354 26.761054039001465 0.14841264858841896 0.029337383806705475 1.2952550426125526 1.2926984132410815 -0.2640364542603493 0 0.24893595638392618 -1.0 0.9310158563900766 4547.0 -45391.0 44253.0 1.2926984132410815 -0.2640364542603493 0.0 0.0 0.0 0.0 -0.14363315702678683 -0.029337383806705475 0 
3355 26.766046285629272 0.14841264858841896 0.029337383806705475 1.2952550426125526 1.2926984132410815 -0.2640364542603493 0 0.24893595638392618 -1.0 0.9310158563900766 4547.0 -45391.0 44253.0 1.2926984132410815 -0.2640364542603493 0.0 0.0 0.0 0.0 -0.14363315702678683 -0.029337383806705475 0 
3356 26.771178245544434 0.15033012628555298 0.032597094774246216 1.2952550426125526 1.322408782784969 -0.35530836135149 0 0.3349879356318917 -1.0 0.9122482819167772 4558.0 -45469.0 44334.0 1.3238813083891852 -0.29337385296821594 0.0 0.0 -0.0014725256042160074 -0.06193450838327408 -0.1470979231543539 -0.032597094774246216 0 
3357 26.776034355163574 0.15033012628555298 0.032597094774246216 1.2952550426125526 1.306190644001234 -0.29337385296821594 0 0.2765955211422008 -1.0 0.9282024342956917 4558.0 -45469.0 44334.0 1.3053138472239887 -0.29337385296821594 0.0 0.0 0.0008767967772453958 0.0 -0.1450348719137765 -0.032597094774246216 0 
3358 26.78106689453125 0.15148061141371727 0.033364083617925644 1.295063354074955 1.3284472554889608 -0.31484954059123993 0 0.29684299360737987 -1.0 0.9362511452458677 4565.0 -45513.0 44379.0 1.3295938092513646 -0.3002767525613308 0.0 0.0 -0.0011465537624038736 -0.014572788029909134 -0.14773264547237386 -0.033364083617925644 0 
3359 26.786356210708618 0.15320633724331856 0.03470631688833237 1.2939128652215004 1.3443919082401956 -0.33785928413271904 0 0.31853678786277084 -1.0 0.9384230025736351 4580.0 -45594.0 44464.0 1.3451253417177762 -0.3123568519949913 0.0 0.0 -0.0007334334775805474 -0.025502432137727737 -0.14945837130197515 -0.03470631688833237 0 
3360 26.791085243225098 0.15320633724331856 0.03470631688833237 1.2939128652215004 1.3451253417177762 -0.3123568519949913 0 0.29449286426098814 -1.0 0.9510438103013091 4580.0 -45594.0 44464.0 1.3451253417177762 -0.3123568519949913 0.0 0.0 0.0 0.0 -0.14945837130197515 -0.03470631688833237 0 
3361 26.796029806137085 0.15186410397291183 0.03585680574178696 1.2939128652215004 1.3336156914240385 -0.3445705398917198 0 0.32486422047272645 -1.0 0.9264605420829294 4596.0 -45671.0 44542.0 1.3330452422841157 -0.3227112516760826 0.0 0.0 0.0005704491399228574 -0.021859288215637207 -0.14811613803156842 -0.03585680574178696 0 
3362 26.80108094215393 0.15186410397291183 0.03585680574178696 1.2939128652215004 1.3330452422841157 -0.3227112516760826 0 0.30425508590047545 -1.0 0.9362993395967147 4596.0 -45671.0 44542.0 1.3330452422841157 -0.3227112516760826 0.0 0.0 0.0 0.0 -0.14811613803156842 -0.03585680574178696 0 
3363 26.806073904037476 0.14956313371658325 0.03719903528690338 1.2942963615059853 1.3133144223360982 -0.3602936789393425 0 0.3396881381288771 -1.0 0.902472666456057 4605.0 -45710.0 44582.0 1.3123365099771584 -0.33479131758213043 0.0 0.0 0.0009779123589396478 -0.025502361357212067 -0.14581516777523984 -0.03719903528690338 0 
3364 26.811039686203003 0.14726216346025467 0.04103399068117142 1.2954468503594398 1.292605690029141 -0.44217006862163544 0 0.41688193861343925 -1.0 0.8469671570897979 4626.0 -45793.0 44665.0 1.2916277776702012 -0.36930591613054276 0.0 0.0 0.0009779123589396478 -0.07286415249109268 -0.14351419751891126 -0.04103399068117142 0 
3365 26.816109895706177 0.14975488185882568 0.04314321279525757 1.2960220351815224 1.3130028379379477 -0.428364135324955 0 0.40386557987385 -1.0 0.8701295379878102 4636.0 -45832.0 44702.0 1.3140622432573403 -0.3882889151573181 0.0 0.0 -0.0010594053193926812 -0.04007522016763687 -0.14600691591748227 -0.04314321279525757 0 
3366 26.821117401123047 0.14975488185882568 0.04314321279525757 1.2960220351815224 1.3273171567373658 -0.3882889151573181 0 0.3660822999564102 -1.0 0.9007087703045646 4636.0 -45832.0 44702.0 1.3279741058019736 -0.3882889151573181 0.0 0.0 -0.0006569490646076801 0.0 -0.14755267842244152 -0.04314321279525757 0 
3367 26.826064109802246 0.1547403186559677 0.04352670907974243 1.297172524034977 1.3574693128574409 -0.3990268111228943 0 0.3762060853603229 -1.0 0.9202660099822486 4659.0 -45917.0 44787.0 1.3589311744316186 -0.3917403817176819 0.0 0.0 -0.0014618615741776822 -0.007286429405212402 -0.1509923527146243 -0.04352670907974243 0 
3368 26.831080198287964 0.1547403186559677 0.04352670907974243 1.297172524034977 1.372186087911644 -0.3917403817176819 0 0.36933637383623924 -1.0 0.9357170622583296 4659.0 -45917.0 44787.0 1.3728430369762519 -0.3917403817176819 0.0 0.0 -0.0006569490646076801 0.0 -0.15253811521958355 -0.04352670907974243 0 
3369 26.836059093475342 0.15934225916862488 0.041800979524850845 1.2987065091729164 1.4123046768722871 -0.34341995418071747 0 0.3237794378612783 -1.0 0.99125222096382 4680.0 -45993.0 44863.0 1.4142605015901664 -0.3762088157236576 0.0 0.0 -0.0019558247178792956 0.03278886154294014 -0.1571400557322407 -0.041800979524850845 0 
3370 26.84139657020569 0.15934225916862488 0.041800979524850845 1.2987065091729164 1.4142605015901664 -0.3762088157236576 0 0.3546930729871447 -1.0 0.9773923275959291 4691.0 -46031.0 44901.0 1.4142605015901664 -0.3762088157236576 0.0 0.0 0.0 0.0 -0.1571400557322407 -0.041800979524850845 0 
3371 26.846060514450073 0.15934225916862488 0.041800979524850845 1.2987065091729164 1.4142605015901664 -0.3762088157236576 0 0.3546930729871447 -1.0 0.9773923275959291 4691.0 -46031.0 44901.0 1.4142605015901664 -0.3762088157236576 0.0 0.0 0.0 0.0 -0.1571400557322407 -0.041800979524850845 0 
3372 26.851319551467896 0.15934225916862488 0.03892476484179497 1.2994735017418861 1.4142605015901664 -0.29567480459809303 0 0.2787648791430919 -1.0 1.0 4717.0 -46108.0 44978.0 1.4142605015901664 -0.3503228835761547 0.0 0.0 0.0 0.054648078978061676 -0.1571400557322407 -0.03892476484179497 0 
3373 26.856072902679443 0.15934225916862488 0.03892476484179497 1.2994735017418861 1.4142605015901664 -0.3503228835761547 0 0.33028758210869913 -1.0 0.9895950730351518 4717.0 -46108.0 44978.0 1.4142605015901664 -0.3503228835761547 0.0 0.0 0.0 0.0 -0.1571400557322407 -0.03892476484179497 0 
3374 26.861108779907227 0.15742478519678116 0.038733016699552536 1.3000488057732582 1.3978181622816064 -0.3449539355933666 0 0.3252256894067428 -1.0 0.9787009055582373 4731.0 -46151.0 45021.0 1.3970032358435729 -0.3485971502959728 0.0 0.0 0.0008149264380335809 0.003643214702606201 -0.155222581760397 -0.038733016699552536 0 
